Text,expresso atau americano (Hot),expresso atau americano (Ice),cappucino (Hot),cappucino (Ice),Gula Aren(Hot),Gula Aren(Ice),Coffee Latte(Hot),Coffee Latte(Ice),Caramel Macchiato(Hot),Caramel Macchiato(Ice),mochaccino (Hot),mochaccino (Ice)
aku mau caramel macchiato hot satu sama mochaccino ice satu mas,0,0,0,0,0,0,0,0,1,0,0,1
pesen satu caramel macchiato yang ice sama satu mochaccino yang hot ya,0,0,0,0,0,0,0,0,1,0,0,1
boleh caramel macchiato hot satu dan mochaccino iced satu ya mas,0,0,0,0,0,0,0,0,0,1,1,0
mas caramel macchiato ice sama mochaccino hot satu ya,0,0,0,0,0,0,0,0,0,1,1,0
caramel macchiato hot satu dan mochaccino eyes satu aja ya mas,0,0,0,0,0,0,0,0,0,1,1,0
aku mau pesen caramel macchiato eyes satu sama mochaccino eyes satu,0,0,0,0,0,0,0,0,0,1,0,1
mas boleh caramel macchiato eyes satu dan mochaccino eyes satu,0,0,0,0,0,0,0,0,0,1,0,1
caramel macchiato hot satu sama mochaccino eyes satu ya,0,0,0,0,0,0,0,0,0,1,0,1
aku pesen caramel macchiato eyes sama mochaccino eyes ya,0,0,0,0,0,0,0,0,1,0,0,1
mas caramel macchiato eyes dan mochaccino eyes satusatu ya,0,0,0,0,0,0,0,0,1,0,0,1
boleh pesen caramel macchiato eyes dan mochaccino eyes satu ya mas,0,0,0,0,0,0,0,0,0,1,0,1
pesen caramel macchiato eyes sama mochaccino eyes ya mas,0,0,0,0,0,0,0,0,0,1,0,1
mas satu caramel macchiato eyes dan satu mochaccino eyes,0,0,0,0,0,0,0,0,0,1,0,1
aku mau caramel macchiato eyes dan mochaccino eyes mas,0,0,0,0,0,0,0,0,0,1,0,1
mas caramel macchiato ice sama mochaccino ice satusatu ya,0,0,0,0,0,0,0,0,0,1,0,1
pesen caramel macchiato ice dan mochaccino ice aja mas,0,0,0,0,0,0,0,0,0,1,0,1
mas caramel macchiato ice satu dan mochaccino ice satu ya,0,0,0,0,0,0,0,0,0,1,0,1
boleh caramel macchiato ice sama mochaccino ice mas,0,0,0,0,0,0,0,0,0,1,0,1
aku pesen caramel macchiato ice sama mochaccino hot ya,0,0,0,0,0,0,0,0,0,1,0,1
mas caramel macchiato iced dan mochaccino hot satusatu ya,0,0,0,0,0,0,0,0,0,1,0,1
boleh pesen caramel macchiato ice dan mochaccino hot satu ya mas,0,0,0,0,0,0,0,0,0,1,1,0
pesen caramel macchiato ice sama mochaccino hot ya mas,0,0,0,0,0,0,0,0,0,1,1,0
mas satu caramel macchiato ice dan satu mochaccino hot,0,0,0,0,0,0,0,0,0,1,1,0
aku mau caramel macchiato ice dan mochaccino hot mas,0,0,0,0,0,0,0,0,0,1,1,0
mas caramel macchiato ice sama mochaccino hot satusatu ya,0,0,0,0,0,0,0,0,0,1,1,0
pesen caramel macchiato ice dan mochaccino hot aja mas,0,0,0,0,0,0,0,0,0,1,1,0
mas caramel macchiato ice satu dan mochaccino hot satu ya,0,0,0,0,0,0,0,0,0,1,1,0
boleh caramel macchiato ice sama mochaccino hot mas,0,0,0,0,0,0,0,0,0,1,1,0
aku pesen caramel macchiato hot sama mochaccino ice ya,0,0,0,0,0,0,0,0,0,1,1,0
mas caramel macchiato hot dan mochaccino iced satusatu ya,0,0,0,0,0,0,0,0,0,1,1,0
boleh pesen caramel macchiato hot dan mochaccino ice satu ya mas,0,0,0,0,0,0,0,0,1,0,0,1
pesen caramel macchiato hot sama mochaccino ice ya mas,0,0,0,0,0,0,0,0,1,0,0,1
mas satu caramel macchiato hot dan satu mochaccino ice,0,0,0,0,0,0,0,0,1,0,0,1
aku mau caramel macchiato hot dan mochaccino ice mas,0,0,0,0,0,0,0,0,1,0,0,1
mas caramel macchiato hot sama mochaccino ice satusatu ya,0,0,0,0,0,0,0,0,1,0,0,1
pesen caramel macchiato hot dan mochaccino ice aja mas,0,0,0,0,0,0,0,0,1,0,0,1
mas caramel macchiato hot satu dan mochaccino ice satu ya,0,0,0,0,0,0,0,0,1,0,0,1
boleh caramel macchiato hot sama mochaccino ice mas,0,0,0,0,0,0,0,0,1,0,0,1
aku pesen caramel macchiato hot sama mochaccino hot ya,0,0,0,0,0,0,0,0,1,0,0,1
mas caramel macchiato hot dan mochaccino hot satusatu ya,0,0,0,0,0,0,0,0,1,0,0,1
boleh pesen caramel macchiato hot dan mochaccino hot satu ya mas,0,0,0,0,0,0,0,0,1,0,1,0
pesen caramel macchiato hot sama mochaccino hot ya mas,0,0,0,0,0,0,0,0,1,0,1,0
mas satu caramel macchiato hot dan satu mochaccino hot,0,0,0,0,0,0,0,0,1,0,1,0
aku mau caramel macchiato hot dan mochaccino hot mas,0,0,0,0,0,0,0,0,1,0,1,0
mas caramel macchiato hot sama mochaccino hot satusatu ya,0,0,0,0,0,0,0,0,1,0,1,0
pesen caramel macchiato hot dan mochaccino hot aja mas,0,0,0,0,0,0,0,0,1,0,1,0
mas caramel macchiato hot satu dan mochaccino hot satu ya,0,0,0,0,0,0,0,0,1,0,1,0
boleh caramel macchiato hot sama mochaccino hot mas,0,0,0,0,0,0,0,0,1,0,1,0
aku mau pesan satu hot kopi gula aren,0,0,0,0,1,0,0,0,0,0,0,0
mba pesan dua kopi gula aren yang hot,0,0,0,0,1,0,0,1,0,0,0,0
mba mau iced coffee latte empat ya,0,0,0,0,0,0,1,0,0,0,0,0
mba pesan satu coffee latte yang hot,0,0,0,0,0,0,1,0,0,0,0,0
kak pesan empat hot coffee latte,0,0,0,0,0,0,1,0,0,0,0,0
mas pesan satu coffee latte yang hot,0,0,0,0,0,0,0,1,0,0,0,0
mas mau iced coffee latte dua ya,0,0,0,0,0,0,0,1,0,0,0,0
pesan dua coffee latte dan iced,0,0,0,0,0,0,0,1,0,0,0,0
mba pesan satu kopi gula aren yang eyes,0,0,0,0,0,1,0,1,0,0,0,0
saya mau pesan lima eyes kopi gula aren,0,0,0,0,0,1,0,1,0,0,0,0
kak mau eyes coffee latte tiga ya,0,0,0,0,0,0,1,0,0,0,0,0
aku pesan lima kopi gula aren yang eyes,0,0,0,0,0,1,0,0,0,0,0,0
mba mau iced kopi gula aren lima ya,0,0,0,0,0,1,0,0,0,0,0,0
mba mau iced kopi gula aren satu ya,0,0,0,0,0,1,0,1,0,0,0,0
kak mau hot kopi gula aren lima ya,0,0,0,0,1,0,1,0,0,0,0,0
kak mau iced kopi gula aren satu ya,0,0,0,0,0,1,0,1,0,0,0,0
saya mau pesan tiga hot kopi gula aren,0,0,0,0,1,0,0,1,0,0,0,0
mas mau iced coffee latte satu ya,0,0,0,0,0,0,1,0,0,0,0,0
pesan satu coffee latte dan hot,0,0,0,0,0,0,0,1,0,0,0,0
saya mau pesan tiga iced kopi gula aren,0,0,0,0,0,1,0,1,0,0,0,0
pesan tiga coffee latte dan iced,0,0,0,0,0,0,0,1,0,0,0,0
saya mau pesan empat hot kopi gula aren,0,0,0,0,1,0,0,0,0,0,0,0
mba mau hot kopi gula aren empat ya,0,0,0,0,1,0,0,1,0,0,0,0
mas pesan satu hot kopi gula aren,0,0,0,0,1,0,0,0,0,0,0,0
mas mau hot kopi gula aren dua ya,0,0,0,0,1,0,0,0,0,0,0,0
aku pesan lima kopi gula aren yang iced,0,0,0,0,0,1,0,1,0,0,0,0
aku pesan satu coffee latte yang iced,0,0,0,0,0,0,1,0,0,0,0,0
aku mau pesan dua hot coffee latte,0,0,0,0,0,0,1,0,0,0,0,0
kak pesan lima coffee latte yang hot,0,0,0,0,0,0,0,1,0,0,0,0
saya mau pesan lima iced coffee latte,0,0,0,0,0,0,0,1,0,0,0,0
mas pesan dua iced coffee latte,0,0,0,0,0,0,1,0,0,0,0,0
mas pesan tiga hot coffee latte,0,0,0,0,0,0,1,0,0,0,0,0
mas pesan tiga kopi gula aren yang iced,0,0,0,0,0,1,0,0,0,0,0,0
mba pesan satu kopi gula aren yang hot,0,0,0,0,1,0,0,0,0,0,0,0
mba pesan tiga kopi gula areng yang iced,0,0,0,0,0,1,0,1,0,0,0,0
kak mau iced coffee latte empat ya,0,0,0,0,0,0,1,0,0,0,0,0
kak pesan tiga hot kopi gula areng,0,0,0,0,1,0,0,0,0,0,0,0
mba pesan tiga kopi gula areng yang hot,0,0,0,0,1,0,0,1,0,0,0,0
kak pesan empat iced coffee latte,0,0,0,0,0,0,0,1,0,0,0,0
aku mau pesan lima hot kopi gula aren,0,0,0,0,1,0,0,1,0,0,0,0
mba pesan satu iced kopi gula aren,0,0,0,0,0,1,0,0,0,0,0,0
aku pesan dua kopi gula aren yang hot,0,0,0,0,1,0,1,0,0,0,0,0
saya mau pesan empat iced kopi gula aren,0,0,0,0,0,1,0,0,0,0,0,0
mba mau iced kopi gula aren tiga ya,0,0,0,0,0,1,0,0,0,0,0,0
kak pesan empat kopi gula aren yang iced,0,0,0,0,0,1,0,1,0,0,0,0
mba pesan tiga hot kopi gula aren,0,0,0,0,1,0,1,0,0,0,0,0
saya mau pesan tiga hot coffee latte,0,0,0,0,0,0,0,1,0,0,0,0
mas pesan tiga iced kopi gula aren,0,0,0,0,0,1,0,0,0,0,0,0
mas pesan empat iced kopi gula aren,0,0,0,0,0,1,0,0,0,0,0,0
mas pesan satu iced kopi gula aren,0,0,0,0,0,1,0,1,0,0,0,0
mba pesan dua iced kopi gula aren,0,0,0,0,0,1,0,0,0,0,0,0
kak pesan lima kopi gula aren yang hot,0,0,0,0,1,0,0,0,0,0,0,0
mba mau hot kopi gula aren satu ya,0,0,0,0,1,0,0,0,0,0,0,0
mba pesan empat iced kopi gula aren,0,0,0,0,0,1,0,1,0,0,0,0
mba pesan satu iced coffee latte,0,0,0,0,0,0,0,1,0,0,0,0
aku pesan satu kopi gula aren yang hot,0,0,0,0,1,0,0,0,0,0,0,0
mas pesan lima kopi gula aren yang hot,0,0,0,0,1,0,0,0,0,0,0,0
aku pesan lima kopi gula aren yang hot,0,0,0,0,1,0,0,1,0,0,0,0
pesan empat coffee latte dan iced,0,0,0,0,0,0,0,1,0,0,0,0
kak mau eyes kopi gula aren satu ya,0,0,0,0,0,1,0,0,0,0,0,0
mas pesan satu kopi gula aren yang eyes,0,0,0,0,0,1,0,0,0,0,0,0
mba mau hot kopi gula aren dua ya,0,0,0,0,1,0,0,0,0,0,0,0
kak pesan dua kopi gula aren yang eyes,0,0,0,0,0,1,0,0,0,0,0,0
aku pesan lima kopi gula areng yang eyes,0,0,0,0,0,1,0,0,0,0,0,0
mba pesan tiga hot kopi gula areng,0,0,0,0,1,0,1,0,0,0,0,0
mba pesan satu hot kopi gula areng,0,0,0,0,1,0,0,1,0,0,0,0
aku mau pesan tiga eyes kopi gula aren,0,0,0,0,0,1,0,1,0,0,0,0
aku pesan tiga kopi gula aren yang hot,0,0,0,0,1,0,0,1,0,0,0,0
mba pesan lima iced coffee latte,0,0,0,0,0,0,1,0,0,0,0,0
mas pesan tiga kopi gula aren yang hot,0,0,0,0,1,0,0,1,0,0,0,0
mba pesan dua coffee latte yang hot,0,0,0,0,0,0,0,1,0,0,0,0
kak pesan dua coffee latte yang iced,0,0,0,0,0,0,1,0,0,0,0,0
mba pesan tiga hot coffee latte,0,0,0,0,0,0,0,1,0,0,0,0
kak pesan satu iced kopi gula aren,0,0,0,0,0,1,0,1,0,0,0,0
kak mau iced coffee latte tiga ya,0,0,0,0,0,0,1,0,0,0,0,0
pesan satu kopi gula aren dan iced,0,0,0,0,0,1,0,0,0,0,0,0
mba pesan empat iced kopi gula areng,0,0,0,0,0,1,0,0,0,0,0,0
mas mau hot kopi gula areng satu ya,0,0,0,0,1,0,1,0,0,0,0,0
kak mau hot coffee latte empat ya,0,0,0,0,0,0,0,1,0,0,0,0
kak mau hot coffee latte lima ya,0,0,0,0,0,0,1,0,0,0,0,0
saya mau pesan lima hot kopi gula aren,0,0,0,0,1,0,1,0,0,0,0,0
kak mau hot coffee latte dua ya,0,0,0,0,0,0,1,0,0,0,0,0
kak mau hot coffee latte tiga ya,0,0,0,0,0,0,1,0,0,0,0,0
mba pesan empat hot kopi gula aren,0,0,0,0,1,0,1,0,0,0,0,0
kak mau hot kopi latte dua ya,0,0,0,0,0,0,0,1,0,0,0,0
mas mau iced kopi gula aren tiga ya,0,0,0,0,0,1,0,0,0,0,0,0
pesan dua kopi gula aren dan iced,0,0,0,0,0,1,1,0,0,0,0,0
aku pesan satu kopi latte yang hot,0,0,0,0,0,0,1,0,0,0,0,0
aku mau pesan tiga hot kopi gula aren,0,0,0,0,1,0,0,1,0,0,0,0
mba mau hot kopi gula aren tiga ya,0,0,0,0,1,0,0,0,0,0,0,0
aku mau pesan dua eyes kopi gula aren,0,0,0,0,0,1,0,0,0,0,0,0
mas pesan lima hot kopi gula aren,0,0,0,0,1,0,0,0,0,0,0,0
kak pesan dua kopi gula aren yang hot,0,0,0,0,1,0,1,0,0,0,0,0
mba mau hot kopi latte empat ya,0,0,0,0,0,0,1,0,0,0,0,0
mba pesan dua eyes kopi gula aren,0,0,0,0,0,1,0,0,0,0,0,0
mba pesan tiga kopi gula aren yang hot,0,0,0,0,1,0,0,0,0,0,0,0
mas mau hot kopi gula aren satu ya,0,0,0,0,1,0,0,1,0,0,0,0
mba mau eyes coffee latte dua ya,0,0,0,0,0,0,0,1,0,0,0,0
mas mau hot kopi gula aren empat ya,0,0,0,0,1,0,1,0,0,0,0,0
kak mau eyes kopi gula aren lima ya,0,0,0,0,0,1,1,0,0,0,0,0
saya mau pesan satu iced kopi latte,0,0,0,0,0,0,0,1,0,0,0,0
saya mau pesan tiga iced kopi latte,0,0,0,0,0,0,0,1,0,0,0,0
mas mau iced kopi latte satu ya,0,0,0,0,0,0,0,1,0,0,0,0
aku pesan empat kopi gula aren yang hot,0,0,0,0,1,0,0,1,0,0,0,0
pesan satu kopi latte dan iced,0,0,0,0,0,0,0,1,0,0,0,0
pesan empat kopi gula aren dan iced,0,0,0,0,0,1,1,0,0,0,0,0
kak pesan satu hot kopi latte,0,0,0,0,0,0,0,1,0,0,0,0
kak pesan satu iced coffee latte,0,0,0,0,0,0,0,1,0,0,0,0
aku pesan dua coffee latte yang hot,0,0,0,0,0,0,0,1,0,0,0,0
pesan tiga kopi gula aren dan hot,0,0,0,0,1,0,0,1,0,0,0,0
kak mau iced coffee latte lima ya,0,0,0,0,0,0,1,0,0,0,0,0
mas pesan tiga coffee latte yang hot,0,0,0,0,0,0,0,1,0,0,0,0
mas pesan satu hot coffee latte,0,0,0,0,0,0,1,0,0,0,0,0
mba pesan satu coffee latte yang iced,0,0,0,0,0,0,1,0,0,0,0,0
kak pesan lima iced kopi gula aren,0,0,0,0,0,1,0,0,0,0,0,0
mas pesan lima kopi gula aren yang iced,0,0,0,0,0,1,1,0,0,0,0,0
kak pesan dua coffee latte yang hot,0,0,0,0,0,0,0,1,0,0,0,0
kak pesan lima iced coffee latte,0,0,0,0,0,0,1,0,0,0,0,0
mas mau hot kopi gula aren tiga ya,0,0,0,0,1,0,0,0,0,0,0,0
kak pesan lima hot kopi gula aren,0,0,0,0,1,0,0,1,0,0,0,0
aku pesan satu kopi gula aren yang eyes,0,0,0,0,0,1,0,0,0,0,0,0
kak pesan lima kopi gula aren yang eyes,0,0,0,0,0,1,0,0,0,0,0,0
mba pesan lima kopi gula aren yang hot,0,0,0,0,1,0,0,1,0,0,0,0
mas pesan dua eyes coffee latte,0,0,0,0,0,0,1,0,0,0,0,0
mba pesan lima coffee latte yang hot,0,0,0,0,0,0,1,0,0,0,0,0
mas mau hot coffee latte lima ya,0,0,0,0,0,0,0,1,0,0,0,0
aku pesan dua coffee latte yang iced,0,0,0,0,0,0,1,0,0,0,0,0
saya mau pesan tiga hot kopi latte,0,0,0,0,0,0,1,0,0,0,0,0
kak pesan satu kopi gula aren yang iced,0,0,0,0,0,1,0,0,0,0,0,0
aku mau pesan empat iced kopi gula aren,0,0,0,0,0,1,0,0,0,0,0,0
kak pesan satu kopi gula aren yang hot,0,0,0,0,1,0,0,0,0,0,0,0
aku pesan empat kopi gula aren yang iced,0,0,0,0,0,1,1,0,0,0,0,0
pesan empat kopi latte dan hot,0,0,0,0,0,0,1,0,0,0,0,0
mba pesan empat hot kopi latte,0,0,0,0,0,0,1,0,0,0,0,0
kak pesan tiga kopi gula aren yang hot,0,0,0,0,1,0,1,0,0,0,0,0
saya mau pesan dua iced kopi gula aren,0,0,0,0,0,1,0,1,0,0,0,0
mba pesan lima coffee latte yang iced,0,0,0,0,0,0,1,0,0,0,0,0
kak pesan satu hot kopi gula aren,0,0,0,0,1,0,0,0,0,0,0,0
mba pesan empat kopi gula aren yang hot,0,0,0,0,1,0,0,1,0,0,0,0
mas mau hot kopi gula aren lima ya,0,0,0,0,1,0,0,1,0,0,0,0
mba mau iced coffee latte satu ya,0,0,0,0,0,0,1,0,0,0,0,0
kak pesan empat coffee latte yang hot,0,0,0,0,0,0,0,1,0,0,0,0
mas mau hot coffee latte satu ya,0,0,0,0,0,0,0,1,0,0,0,0
pesan empat kopi gula aren dan hot,0,0,0,0,1,0,0,0,0,0,0,0
mba pesan lima hot kopi gula aren,0,0,0,0,1,0,0,0,0,0,0,0
pesan lima kopi gula aren dan iced,0,0,0,0,0,1,0,1,0,0,0,0
mba pesan lima iced kopi gula aren,0,0,0,0,0,1,1,0,0,0,0,0
kak pesan dua iced kopi gula aren,0,0,0,0,0,1,0,1,0,0,0,0
kak pesan lima kopi gula aren yang iced,0,0,0,0,0,1,1,0,0,0,0,0
pesan dua kopi latte dan hot,0,0,0,0,0,0,0,1,0,0,0,0
pesan empat kopi latte dan iced,0,0,0,0,0,0,0,1,0,0,0,0
aku pesan satu kopi latte yang iced,0,0,0,0,0,0,0,1,0,0,0,0
mba pesan empat iced kopi latte,0,0,0,0,0,0,0,1,0,0,0,0
mba mau eyes kopi gula aren tiga ya,0,0,0,0,0,1,0,0,0,0,0,0
mba mau eyes kopi gula aren dua ya,0,0,0,0,0,1,0,0,0,0,0,0
mba mau hot kopi latte tiga ya,0,0,0,0,0,0,1,0,0,0,0,0
aku pesan tiga kopi gula aren yang eyes,0,0,0,0,0,1,0,0,0,0,0,0
mas pesan satu eyes kopi gula aren,0,0,0,0,0,1,0,0,0,0,0,0
pesan lima kopi gula aren dan hot,0,0,0,0,1,0,0,0,0,0,0,0
mas pesan satu coffee latte yang iced,0,0,0,0,0,0,1,0,0,0,0,0
mas pesan lima iced kopi gula aren,0,0,0,0,0,1,0,0,0,0,0,0
aku mau pesan dua hot kopi gula aren,0,0,0,0,1,0,0,1,0,0,0,0
pesan satu kopi gula aren dan hot,0,0,0,0,1,0,0,0,0,0,0,0
kak pesan lima hot coffee latte,0,0,0,0,0,0,1,0,0,0,0,0
aku mau pesan tiga hot kopi latte,0,0,0,0,0,0,0,1,0,0,0,0
kak mau hot kopi gula aren empat ya,0,0,0,0,1,0,0,0,0,0,0,0
mba pesan tiga iced kopi gula aren,0,0,0,0,0,1,1,0,0,0,0,0
aku pesan dua kopi gula aren yang iced,0,0,0,0,0,1,0,1,0,0,0,0
saya mau pesan lima hot kopi latte,0,0,0,0,0,0,1,0,0,0,0,0
aku pesan dua kopi latte yang hot,0,0,0,0,0,0,1,0,0,0,0,0
aku pesen 14 cappuccino hot dan 3 cappuccino ice ya,0,0,1,1,0,0,0,0,0,0,0,0
mas tolong 9 espresso hot dan 1 espresso ice dan 2 cappuccino ice,1,1,0,1,0,0,0,0,0,0,0,0
aku pesen 12 espresso hot dan 1 cappuccino hot ya,1,0,1,0,0,0,0,0,0,0,0,0
aku mau 1 cappuccino ice ya mas,0,0,0,1,0,0,0,0,0,0,0,0
mba pesen 1 americano hot,1,0,0,0,0,0,0,0,0,0,0,0
mas aku mau 7 americano hot dan 6 cappuccino ice,1,0,0,1,0,0,0,0,0,0,0,0
aku mau 5 cappuccino hot ya mas,0,0,1,0,0,0,0,0,0,0,0,0
mba pesen 6 espresso ice dan 6 cappuccino hot,0,1,1,0,0,0,0,0,0,0,0,0
mas aku mau 3 cappuccino hot,0,0,1,0,0,0,0,0,0,0,0,0
mas aku mau 6 espresso hot dan 9 kapucino hot,1,0,1,0,0,0,0,0,0,0,0,0
aku mau 2 americano ice dan 9 kapucino hot dan 3 kapucino ice ya mas,0,1,1,1,0,0,0,0,0,0,0,0
aku pesen 7 americano hot ya,1,0,0,0,0,0,0,0,0,0,0,0
aku pesen 9 espresso ice dan 5 kapucino ice ya,0,1,0,1,0,0,0,0,0,0,0,0
mba pesen 4 americano hot,1,0,0,0,0,0,0,0,0,0,0,0
mba pesen 4 kapucino ice,0,0,0,1,0,0,0,0,0,0,0,0
boleh tolong 3 espresso hot ya mba,1,0,0,0,0,0,0,0,0,0,0,0
aku mau 20 americano hot ya mas,1,0,0,0,0,0,0,0,0,0,0,0
aku pesen 6 americano hot ya,1,0,0,0,0,0,0,0,0,0,0,0
mas aku mau 7 americano hot dan 9 cappuccino hot,1,0,1,0,0,0,0,0,0,0,0,0
aku mau 1 americano hot dan 4 americano ice dan 9 cappuccino ice ya mas,1,1,0,1,0,0,0,0,0,0,0,0
mas aku mau 5 americano hot dan 5 americano ice dan 3 cappuccino ice,1,1,0,1,0,0,0,0,0,0,0,0
aku mau 3 americano hot dan 4 americano ice ya mas,1,1,0,0,0,0,0,0,0,0,0,0
aku pesen 9 americano ice ya,0,1,0,0,0,0,0,0,0,0,0,0
aku pesen 5 cappuccino hot dan 1 cappuccino ice ya,0,0,1,1,0,0,0,0,0,0,0,0
boleh tolong 7 americano ice ya mba,0,1,0,0,0,0,0,0,0,0,0,0
aku mau 10 cappuccino hot ya mas,0,0,1,0,0,0,0,0,0,0,0,0
mba pesen 3 cappuccino ice,0,0,0,1,0,0,0,0,0,0,0,0
boleh tolong 5 espresso hot dan 14 cappuccino ice ya mba,1,0,0,1,0,0,0,0,0,0,0,0
aku mau 2 americano hot dan 3 americano ice dan 6 kapusino hot ya mas,1,1,1,0,0,0,0,0,0,0,0,0
aku mau 3 kapusino hot ya mas,0,0,1,0,0,0,0,0,0,0,0,0
aku mau 1 americano ice dan 3 cappuccino hot dan 7 cappuccino ice ya mas,0,1,1,1,0,0,0,0,0,0,0,0
aku pesen 7 espresso hot dan 1 espresso ice dan 6 cappuccino ice ya,1,1,0,1,0,0,0,0,0,0,0,0
mas tolong 11 espresso hot dan 3 cappuccino hot,1,0,1,0,0,0,0,0,0,0,0,0
boleh tolong 17 espresso hot dan 8 espresso ice ya mba,1,1,0,0,0,0,0,0,0,0,0,0
mas aku mau 5 americano hot,1,0,0,0,0,0,0,0,0,0,0,0
mba pesen 9 espresso hot dan 11 cappuccino ice,1,0,0,1,0,0,0,0,0,0,0,0
mas tolong 5 espresso hot dan 3 cappuccino ice,1,0,0,1,0,0,0,0,0,0,0,0
mas tolong 7 americano ice dan 3 cappuccino hot,0,1,1,0,0,0,0,0,0,0,0,0
mas aku mau 10 americano ice,0,1,0,0,0,0,0,0,0,0,0,0
boleh tolong 16 espresso ice ya mba,0,1,0,0,0,0,0,0,0,0,0,0
mas aku mau 3 espresso ice dan 10 cappuccino ice,0,1,0,1,0,0,0,0,0,0,0,0
mas tolong 2 espresso hot dan 6 cappuccino ice,1,0,0,1,0,0,0,0,0,0,0,0
aku mau 10 americano hot ya mas,1,0,0,0,0,0,0,0,0,0,0,0
mba pesen 2 cappuccino ice,0,0,0,1,0,0,0,0,0,0,0,0
mas aku mau 7 cappuccino hot dan 5 cappuccino ice,0,0,1,1,0,0,0,0,0,0,0,0
boleh tolong 13 espresso hot dan 6 cappuccino ice ya mba,1,0,0,1,0,0,0,0,0,0,0,0
boleh tolong 2 espresso hot dan 9 cappuccino ice ya mba,1,0,0,1,0,0,0,0,0,0,0,0
mba pesen 6 americano hot dan 5 americano ice,1,1,0,0,0,0,0,0,0,0,0,0
mas aku mau 8 americano ice,0,1,0,0,0,0,0,0,0,0,0,0
mas tolong 5 espresso hot,1,0,0,0,0,0,0,0,0,0,0,0
aku pesen 5 cappuccino ice ya,0,0,0,1,0,0,0,0,0,0,0,0
mba pesen 5 espresso hot dan 7 espresso ice,1,1,0,0,0,0,0,0,0,0,0,0
mas tolong 3 americano ice,0,1,0,0,0,0,0,0,0,0,0,0
aku mau 2 americano hot dan 12 cappuccino hot ya mas,1,0,1,0,0,0,0,0,0,0,0,0
boleh tolong 1 americano hot dan 5 americano ice ya mba,1,1,0,0,0,0,0,0,0,0,0,0
mba pesen 1 americano hot dan 3 americano ice dan 4 cappuccino ice,1,1,0,1,0,0,0,0,0,0,0,0
aku mau 4 espresso hot dan 9 cappuccino ice ya mas,1,0,0,1,0,0,0,0,0,0,0,0
boleh tolong 4 americano hot dan 1 americano ice ya mba,1,1,0,0,0,0,0,0,0,0,0,0
boleh tolong 2 espresso hot dan 5 espresso ice ya mba,1,1,0,0,0,0,0,0,0,0,0,0
mas aku mau 10 espresso hot dan 3 cappuccino ice,1,0,0,1,0,0,0,0,0,0,0,0
aku pesen 14 americano hot ya,1,0,0,0,0,0,0,0,0,0,0,0
mba pesen 9 espresso hot dan 7 cappuccino ice,1,0,0,1,0,0,0,0,0,0,0,0
mas aku mau 4 espresso ice dan 7 cappuccino ice,0,1,0,1,0,0,0,0,0,0,0,0
mba pesen 2 americano ice dan 9 cappuccino ice,0,1,0,1,0,0,0,0,0,0,0,0
mba pesen 2 americano hot dan 8 kapucino hot,1,0,1,0,0,0,0,0,0,0,0,0
mba pesen 1 americano hot dan 9 americano ice,1,1,0,0,0,0,0,0,0,0,0,0
mas aku mau 6 espresso hot,1,0,0,0,0,0,0,0,0,0,0,0
mba pesen 10 americano hot,1,0,0,0,0,0,0,0,0,0,0,0
boleh tolong 3 americano ice dan 2 kapucino hot ya mba,0,1,1,0,0,0,0,0,0,0,0,0
aku pesen 8 americano panas dan 9 americano ice dan 4 kapucino ice ya,1,1,0,1,0,0,0,0,0,0,0,0
mba pesen 4 americano ice,0,1,0,0,0,0,0,0,0,0,0,0
mas tolong 3 americano panas dan 15 americano ice,1,1,0,0,0,0,0,0,0,0,0,0
mas tolong 5 americano panas dan 1 americano ice,1,1,0,0,0,0,0,0,0,0,0,0
aku pesen 7 americano ice ya,0,1,0,0,0,0,0,0,0,0,0,0
mba pesen 10 americano panas dan 4 cappuccino panas,1,0,1,0,0,0,0,0,0,0,0,0
mas aku mau 2 cappuccino panas,0,0,1,0,0,0,0,0,0,0,0,0
mba pesen 8 cappuccino panas dan 1 cappuccino ice,0,0,1,1,0,0,0,0,0,0,0,0
mas aku mau 16 americano panas,1,0,0,0,0,0,0,0,0,0,0,0
mas aku mau 6 espresso ice dan 5 cappuccino ice,0,1,0,1,0,0,0,0,0,0,0,0
boleh tolong 8 espresso ice ya mba,0,1,0,0,0,0,0,0,0,0,0,0
boleh tolong 17 americano ice ya mba,0,1,0,0,0,0,0,0,0,0,0,0
mas aku mau 6 americano panas dan 3 americano ice,1,1,0,0,0,0,0,0,0,0,0,0
boleh tolong 7 espresso panas dan 5 espresso ice ya mba,1,1,0,0,0,0,0,0,0,0,0,0
aku mau 1 espresso ice dan 7 cappuccino ice ya mas,0,1,0,1,0,0,0,0,0,0,0,0
mas aku mau 9 espresso panas dan 6 cappuccino panas,1,0,1,0,0,0,0,0,0,0,0,0
mba pesen 5 americano ice,0,1,0,0,0,0,0,0,0,0,0,0
boleh tolong 7 americano panas dan 5 americano ice ya mba,1,1,0,0,0,0,0,0,0,0,0,0
mas aku mau 4 espresso ice,0,1,0,0,0,0,0,0,0,0,0,0
mas aku mau 8 americano panas,1,0,0,0,0,0,0,0,0,0,0,0
aku mau 6 americano ice ya mas,0,1,0,0,0,0,0,0,0,0,0,0
mba pesen 7 americano ice dan 1 cappuccino ice,0,1,0,1,0,0,0,0,0,0,0,0
